2018-Aug-12 15:13:35.640929 INFO    [Core] Block 7500 (184f3e6a79f2da8c6ccf9f35d561188f145b8200bf0ee57fc92b00fbc938d0f4) added to main chain
2018-Aug-12 15:13:36.055646 INFO    [Core] Block 7600 (f953593d2daab272d8a9950dfc38b46e7f5137b250eecf3eb70584fea562204c) added to main chain
2018-Aug-12 15:13:36.610083 INFO    [Core] Block 7700 (3cb407315fda9bac37586c4d45ee0e84593a86b0216fba41acbbae2f18143507) added to main chain
2018-Aug-12 15:13:36.968439 INFO    [Core] Block 7800 (fb938fb3fbe8779cc53fe2f64f7e3ee981d2ce56ff57d10bfa8278dc5f2b17a2) added to main chain
2018-Aug-12 15:13:37.333894 INFO    [protocol] [216.244.77.114:11897 OUT] Your TurtleCoin node is syncing with the network. You are 693971 blocks (240 days) behind the Hare. Slow and steady wins the race! 
2018-Aug-12 15:13:37.428007 INFO    [Core] Block 7900 (35542ba5cb635a5640b75573d230090645899102b5e16fb63365e7084d9add80) added to main chain
2018-Aug-12 15:13:37.801946 INFO    [Core] Block 8000 (445985f8c7325e82ecea9eaa15f5b54a2aab584c6746e6377a9d70cda8721ab0) added to main chain
2018-Aug-12 15:13:38.297776 INFO    [Core] Block 8100 (072f8d03182c383641db4d5ab3845d32464543e5fa88ca3deb05ecf084fb5777) added to main chain
2018-Aug-12 15:13:38.715776 INFO    [Core] Block 8200 (a4f01edd970e5280b325ccecaf033a7889d07c4d1021521e60223ca65c508be7) added to main chain
2018-Aug-12 15:13:39.046974 INFO    [Core] Block 8300 (3e9704d4b8ab5b091cacc53b1d05d535fd657168352663e4b8fae60925149135) added to main chain
2018-Aug-12 15:13:39.492777 INFO    [Core] Block 8400 (73b3b51697918897d496c714bdc62783daadffa89252c2e58a877ac4bd5c7501) added to main chain
2018-Aug-12 15:13:39.855775 INFO    [Core] Block 8500 (597ac82f6a77fa24202c5e969d00fb413469961e7458cce7b92f73637987b8cd) added to main chain
2018-Aug-12 15:13:40.336647 INFO    [Core] Block 8600 (d0686e7cc2c7cef3606b63c699bde6147e2030dabcd10c53a10bd79c5db94ec6) added to main chain
2018-Aug-12 15:13:40.776335 INFO    [Core] Block 8700 (8c5f308e5ced5cc37b18b3adbd0b8f4d5f59e14c203dab2766f7bc00b9cfb74b) added to main chain
2018-Aug-12 15:13:41.177821 INFO    [Core] Block 8800 (ad6ed0baf3874aa04c48c266a534248ef1ad1dc4e0dddd8194a9130bc65e84e9) added to main chain
2018-Aug-12 15:13:41.626090 INFO    [Core] Block 8900 (9d4b7f4787016d9a5fa260d40f50c84bf6be0ba40d9d213c504b8ea9d12b9fba) added to main chain
2018-Aug-12 15:13:41.966162 INFO    [Core] Block 9000 (40da7e39735f9693c232df5fd985cfa4ae4e78a024a25e6295856f0b83f871a9) added to main chain
2018-Aug-12 15:13:42.405144 INFO    [Core] Block 9100 (e370d4e89bb6f5c700a82a0599da318222240118c026538dcc48ea23f613ee97) added to main chain
2018-Aug-12 15:13:42.856007 INFO    [Core] Block 9200 (5f4749a2bc75ccb91930b8222807018f7a149ad9c1440b388e4bee7233019397) added to main chain
2018-Aug-12 15:13:43.211297 INFO    [Core] Block 9300 (992114b6809979e8e7d4a29402b0e7f7ee7cf357cccae2666313e15abe5310f4) added to main chain
2018-Aug-12 15:13:43.713575 INFO    [Core] Block 9400 (fef74e260670186799d0d72b374b98be996a02db0c75c497a815b0e10b3f4fbe) added to main chain
2018-Aug-12 15:13:44.247569 INFO    [Core] Block 9500 (04cd9f57f756654a625494f7e6a97b41e62d19292c6166955eb98e36a1f91c04) added to main chain
2018-Aug-12 15:13:45.008620 INFO    [Core] Block 9600 (f90706d1e1e3ad8e0648f53faac0fddb3690d5b3700ba4a7c9080dd448a46ddf) added to main chain
2018-Aug-12 15:13:46.272247 INFO    [Core] Block 9700 (53e95ae9b26f7eb2c4095ae1907a8953e2e95f635bef28b54f137d5cf3022a85) added to main chain
2018-Aug-12 15:13:47.000030 INFO    [Core] Block 9800 (77c5fd07303df350fd3fd3fcdae3329693ebb36e59f00a2bb603d758ef948f9a) added to main chain
2018-Aug-12 15:13:47.696206 INFO    [protocol] [167.99.47.174:11897 OUT] Your TurtleCoin node is syncing with the network. You are 693910 blocks (240 days) behind the Hare. Slow and steady wins the race! 
2018-Aug-12 15:13:47.820638 INFO    [Core] Block 9900 (4e5aa7ae726c721e0695a15ac7d5c51fcbf8270129d762fa747b452b77440c11) added to main chain
2018-Aug-12 15:13:48.556486 INFO    [checkpoints] CHECKPOINT PASSED FOR INDEX 10000 08b25f220656df008499f36c593bc7b875e3598eae0c9c32ff195e735e51ff1d
2018-Aug-12 15:13:48.563208 INFO    [Core] Block 10000 (08b25f220656df008499f36c593bc7b875e3598eae0c9c32ff195e735e51ff1d) added to main chain
2018-Aug-12 15:13:49.482560 INFO    [Core] Block 10100 (99f373de47bc128815a2e65fb333ec47bdb4a56d165f857d98f2f6fb31890f01) added to main chain
2018-Aug-12 15:13:50.267715 INFO    [Core] Block 10200 (d8a6f58bf3a9606591d57d3cbfcdbde12449dbe1d5ff936f5deeac239a00f0e1) added to main chain
2018-Aug-12 15:13:52.946720 INFO    [Core] Block 10300 (d558b313b6ec16f16b396a4b89eee1ca4ec62aa803c0de4d5d61877cd0d1e607) added to main chain
2018-Aug-12 15:13:53.937661 INFO    [Core] Block 10400 (bed4c5224c82378317446a46e3901cafc300ff18fc6226bcfe3d8f50fb32441f) added to main chain
2018-Aug-12 15:13:54.605051 INFO    [Core] Block 10500 (6004dffc56caac3b6d9bda66e14b929cf42700ec22e7d096f64fedc355d819b6) added to main chain
2018-Aug-12 15:13:55.240122 INFO    [Core] Block 10600 (38407e3dc4cdf3b10895df248453dd23bb58c5363bf82ca9d9fdf3a1be5a7606) added to main chain
2018-Aug-12 15:13:56.031518 INFO    [Core] Block 10700 (42031f73cf85cd897d10d288835dc196495fed243e1a3a7d79e7203a159563a1) added to main chain
2018-Aug-12 15:13:56.959506 INFO    [Core] Block 10800 (830b9a297a20a94a493f01d713337ecd8fca8d458623d3030734dd42744ed5a8) added to main chain
2018-Aug-12 15:13:57.653614 INFO    [Core] Block 10900 (afb4a26f4afdfaef83dd2d410184be445f074fd2a25c2b8ad29c76efdfb2d86d) added to main chain
2018-Aug-12 15:13:58.652713 INFO    [Core] Block 11000 (973e6ce40701a81bc678403abb57cdc1be31249e041cb486751974f60cc90c28) added to main chain
2018-Aug-12 15:13:59.733816 INFO    [Core] Block 11100 (e005487d7c4aa9b81dd09861d15ebf36d936837ac1bee73121cd8702a935ced3) added to main chain
2018-Aug-12 15:14:00.503715 INFO    [Core] Block 11200 (d8ce530e5268b29dc6d4da42525eff37121b7625a6451b972049b5bd62cbc2d4) added to main chain
2018-Aug-12 15:14:01.287717 INFO    [Core] Block 11300 (9d1f364a35d1e33d9731ebfb71bb56d594e67b5eed81eddcb1a4006cc6ee5f03) added to main chain
2018-Aug-12 15:14:02.185714 INFO    [Core] Block 11400 (bc1c9d77b9fbf40521a988085263026cb28d128e990b5303da93bd5ec8aca9b7) added to main chain
2018-Aug-12 15:14:03.120717 INFO    [Core] Block 11500 (7c9d51e2191e51d4f55e165379ee55ab488be6201368e2e1e1878e8f570a11e4) added to main chain
2018-Aug-12 15:14:03.913808 INFO    [Core] Block 11600 (018f92943a1f925b1babfd6a808a114977953a34b06f0abd74688b71c41168a3) added to main chain
2018-Aug-12 15:14:04.738715 INFO    [Core] Block 11700 (f92322f3895c431ffe31519b0a2ccfd3651c7a94e959aefb3767bbab0afa5d38) added to main chain
2018-Aug-12 15:14:05.561043 INFO    [Core] Block 11800 (bffaf2f463d0400f5e1bc676a1ea69e39aa5166a31eb37fc930a6c3cd4547df1) added to main chain
2018-Aug-12 15:14:06.342027 INFO    [Core] Block 11900 (ced81d4f02aef790434d4ea0c428153feb7fa039591c162cd90c916e5d1b1aed) added to main chain
